name,name_2,id,goal_assist,goals,expected_goals_per_90,expected_assists_per_90,rating,nation,pos,squad,born,comp
Pep Chavarria,goals,988805,1.0,0.0,0.04,0.07,6.92,es ESP,FW,Rayo Vallecano,1998.0,La Liga
Johan Mojica,goals,474673,2.0,1.0,0.03,0.15,6.91,co COL,DF,Mallorca,1992.0,La Liga
Hugo Álvarez,goals,1308414,3.0,4.0,0.15,0.12,6.91,es ESP,MF,Celta Vigo,2003.0,La Liga
Leandro Cabrera,goals,169586,2.0,4.0,0.04,0.02,6.91,uy URU,DF,Espanyol,1991.0,La Liga
Luis Rioja,goals,638070,3.0,5.0,0.11,0.17,6.91,es ESP,FW,Alavés,1993.0,La Liga
Luis Rioja,goals,638070,3.0,5.0,0.11,0.17,6.91,es ESP,FW,Valencia,1993.0,La Liga
Yéremi Pino,goals,1047676,5.0,3.0,0.17,0.18,6.91,es ESP,FW,Villarreal,2002.0,La Liga
Sergi Altimira,goals,1310480,1.0,0.0,0.08,0.05,6.91,es ESP,MF,Betis,2001.0,La Liga
Thierno Barry,goals,1398392,3.0,11.0,0.5,0.06,6.91,fr FRA,FW,Villarreal,2002.0,La Liga
Koke,goals,184533,1.0,1.0,0.06,0.08,6.91,es ESP,MF,Atlético Madrid,1992.0,La Liga
Natan,goals,1188375,1.0,1.0,0.02,0.04,6.9,br BRA,DF,Betis,2001.0,La Liga
Conor Gallagher,goals,966027,2.0,3.0,0.15,0.06,6.9,eng ENG,MF,Atlético Madrid,2000.0,La Liga
Nicolas Pépé,goals,575735,5.0,2.0,0.24,0.26,6.9,ci CIV,FW,Villarreal,1995.0,La Liga
Djibril Sow,goals,707970,1.0,1.0,0.1,0.04,6.9,ch SUI,MF,Sevilla,1997.0,La Liga
Martin Valjent,goals,521846,0.0,2.0,0.03,0.02,6.9,sk SVK,DF,Mallorca,1995.0,La Liga
Pablo Fornals,goals,683450,0.0,1.0,0.09,0.16,6.9,es ESP,MF,Betis,1996.0,La Liga
Pape Gueye,goals,844544,0.0,2.0,0.12,0.09,6.89,sn SEN,MF,Villarreal,1999.0,La Liga
Bryan Gil,goals,970692,3.0,3.0,0.12,0.17,6.89,es ESP,FW,Girona,2001.0,La Liga
Nahuel Molina,goals,726345,3.0,0.0,0.03,0.1,6.89,ar ARG,DF,Atlético Madrid,1998.0,La Liga
Carlos Vicente,goals,1229177,5.0,4.0,0.08,0.17,6.89,es ESP,FW,Alavés,1999.0,La Liga
Manu Morlanes,goals,784241,0.0,0.0,0.04,0.05,6.89,es ESP,MF,Mallorca,1999.0,La Liga
Isi Palazon,goals,638010,4.0,3.0,0.18,0.18,6.88,es ESP,FW,Rayo Vallecano,1995.0,La Liga
Ladislav Krejci,goals,798029,0.0,2.0,0.07,0.03,6.88,cz CZE,DF,Girona,1997.0,La Liga
Antonio Sivera,goals,530468,0.0,0.0,0.0,0.01,6.88,es ESP,GK,Alavés,1996.0,La Liga
Ramon Terrats,goals,1202587,0.0,4.0,0.17,0.08,6.88,es ESP,MF,Villarreal,1999.0,La Liga
Yvan Neyou Noupa,goals,815187,1.0,1.0,0.02,0.04,6.88,cm CMR,MF,Leganés,1997.0,La Liga
Robin Le Normand,goals,609516,0.0,0.0,0.05,0.05,6.88,es ESP,DF,Atlético Madrid,1996.0,La Liga
Abdessamad Ezzalzouli,goals,1209399,2.0,2.0,0.36,0.1,6.88,ma MAR,FW,Betis,2002.0,La Liga
Renato Tapia,goals,489288,0.0,1.0,0.02,0.03,6.87,pe PER,MF,Leganés,1995.0,La Liga
Diego Lopez,goals,1284434,5.0,8.0,0.22,0.16,6.87,es ESP,FW,Valencia,1999.0,La Liga
Daley Blind,goals,161012,2.0,0.0,0.02,0.08,6.87,nl NED,DF,Girona,1990.0,La Liga
Vedat Muriqi,goals,517052,2.0,7.0,0.48,0.08,6.86,xk KVX,FW,Mallorca,1994.0,La Liga
Dominik Greif,goals,651910,0.0,0.0,0.0,0.0,6.86,sk SVK,GK,Mallorca,1997.0,La Liga
Albert Sambi Lokonga,goals,901495,2.0,0.0,0.04,0.05,6.86,be BEL,MF,Sevilla,1999.0,La Liga
Unai Lopez,goals,571615,1.0,3.0,0.08,0.06,6.86,es ESP,MF,Rayo Vallecano,1996.0,La Liga
Giorgi Mamardashvili,goals,948800,0.0,0.0,0.0,0.0,6.86,ge GEO,GK,Valencia,2000.0,La Liga
Ilaix Moriba,goals,1109046,1.0,1.0,0.08,0.11,6.85,gn GUI,MF,Celta Vigo,2003.0,La Liga
Domingos Duarte,goals,566425,0.0,1.0,0.01,0.01,6.85,pt POR,DF,Getafe,1995.0,La Liga
Jasper Cillessen,goals,212512,0.0,0.0,0.0,0.0,6.85,nl NED,GK,Las Palmas,1989.0,La Liga
Cristhian Mosquera,goals,1298907,0.0,1.0,0.01,0.01,6.84,es ESP,DF,Valencia,2004.0,La Liga
